Compound,Similarity,Smiles,,,,Smiles
CHEMBL8100,1, COC1=CC(CC(C)N)=C(OC)C=C1Cl,,,,
CHEMBL456,1, CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,,,,
CHEMBL4553664,1, CSCC[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC1=CC=CC=C1)NC(C)=O)C(N)=O,,,,
CHEMBL4553663,1, COC1(CO)CCOC1,,,,
CHEMBL8121,1, CC(O)C1=C(OCCCC(C)(C)C(O)=O)C=CC(OCCCC(C)(C)C(O)=O)=C1,,,,
CHEMBL8118,1, CC(C)(CCCOC1=CC(Cl)=C(OCCCC(C)(C)C(O)=O)C=C1)C(O)=O,,,,
CHEMBL8341,1, COC1=C(CC(NC(=O)OC(C)(C)C)C(O)=O)C=C(C=C1[N+]([O-])=O)[N+]([O-])=O,,,,
CHEMBL4553593,1, COC(=O)C1=CN=C(S1)C(C)=O,,,,
CHEMBL8028,1, COC1=CC(CC(C)N)=C(OC)C=C1N,,,,
CHEMBL8336,1, COC1=CC(C#N)=C(OC)C=C1CC(C)N,,,,
CHEMBL459,1, C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O,,,,
CHEMBL8584,1, COC1=CC(C(O)=O)=C(OC)C=C1CC(C)N,,,,
CHEMBL8160,1, COC(=O)C(C)(C)CCCOC1=CC=CC(OCCCC(C)(C)C(=O)OC)=C1C(C)=O,,,,
CHEMBL457,1, CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,,,,
CHEMBL8205,1, COC(=O)C(C)(C)CCCOC1=CC(C(C)=O)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL8682,1, OC(=O)CNC(=O)C1=CC=C(C=C1)[N+]([O-])=O,,,,
CHEMBL8681,1, OC(=O)CNC(=O)C1=C(C=CC=C1)[N+]([O-])=O,,,,
CHEMBL8680,1, COC1=C(CC(N)C(O)=O)C=C(C=C1[N+]([O-])=O)[N+]([O-])=O,,,,
CHEMBL8114,1, COC(=O)C(C)(C)CCCOC1=CC=CC(OCCCC(C)(C)C(=O)OC)=C1[N+]([O-])=O,,,,
CHEMBL4553717,1, NC(=O)NC1=CC=C(C=C1)S(F)(=O)=O,,,,
CHEMBL8177,1, COC(=O)C(C)(C)CCCOC1=CC(Br)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL8284,1, CC(C)C[C@H](NC(=O)[C@H](CC1=CC=C(OC(C(O)=O)C(O)=O)C=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(C)=O)C(N)=O,,,,
